center_x,center_y,w_tr_left_m,w_tr_right_m
89633.4781485,43126.6760826,3.7743134663617104,3.725007713419375
89632.8267338,43127.4322554,3.578231925074729,3.8392922656156774
89632.2067304,43128.2143275,3.4365879420742598,3.9239154496958717
89631.6131256,43129.0167091,3.334609524763505,3.981363597104847
89631.0406069,43129.8342612,3.2756519168349305,4.01181794056001
89630.4837826,43130.662594,3.246655969137476,4.01267293618422
89629.9373163,43131.4978195,3.2306565754172345,4.001344675983294
89629.3972451,43132.3371724,3.23468370317694,4.00132440590429
89628.860489,43133.1786561,3.2509606996239984,4.01695744933018
89628.3253521,43134.0211708,3.2684486697837114,4.030488056012278
89627.7912198,43134.8643218,3.2926498011411125,4.035969693087596
89627.2577355,43135.7078859,3.3444452588827023,4.038379953274978
89626.7247834,43136.5517862,3.3965892485880875,4.039460410894314
89626.1922591,43137.3959571,3.4491315194082985,4.038086069595165
89625.6600632,43138.2403342,3.500227232505815,4.032911752914498
89625.1280948,43139.0848558,3.5513443287701705,4.0269715943943
89624.596255,43139.9294566,3.54158104651125,4.021075826039612
89624.0644415,43140.7740761,3.463930901793322,4.012946122127053
89623.5325551,43141.6186471,3.3849440920894027,4.001087645305365
89623.0004936,43142.4631104,3.3444885289905715,3.982915750842361
89622.4681648,43143.3074028,3.311011578951506,3.965648965182731
89621.9354726,43144.1514669,3.276028439546181,3.978528625110712
89621.4023187,43144.9952399,3.2403934607360716,4.002261284681176
89620.8686113,43145.8386611,3.2593958309621938,4.022396247265071
89620.3342952,43146.6816996,3.317854452220602,4.050171362314684
89619.7993349,43147.524328,3.3737789419538777,4.0608974880199415
89619.2637071,43148.3665333,3.4068759602741534,4.041439747971767
89618.7273981,43149.2083035,3.4324845697442123,4.022243645391762
89618.1903939,43150.0496312,3.4467418962928034,4.027299032274781
89617.6526814,43150.8905108,3.4225710080835263,4.040140251493028
89617.1142558,43151.7309313,3.371151235405291,4.046902629222749
89616.5751659,43152.5708989,3.246932977563274,4.027538474195486
89616.0365266,43153.4111621,3.229275843734264,4.007355819528479
89615.5007094,43154.2532441,3.224742018820014,4.014988127157173
89614.9741577,43155.1010738,3.2340479163835854,4.012289370082185
89614.4688564,43155.9618515,3.271456960859764,3.9883077556760758
89613.998523,43156.8421029,3.357722512168852,3.933958342195673
89613.5788536,43157.7475189,3.519129370807558,3.841404685980548
89613.2266518,43158.6813327,3.7138576303995214,3.7107774655830563
89612.9601514,43159.6425986,3.9634145577103514,3.563260785245111
89612.7983749,43160.6275065,4.070017552217788,3.3407440244616278
89612.762124,43161.6236042,4.112578197920384,3.4054476192245087
89612.8715555,43162.615754,4.240968740534886,3.393232411422604
89613.1421396,43163.5742516,4.224082174909917,3.5185473784006898
89613.5852624,43164.4673323,4.1923693559558615,3.5377799074902887
89614.1925163,43165.2571083,4.239461241405021,3.498011665112668
89614.9471178,43165.9066147,4.213273067201425,3.4807393937412527
89615.818318,43166.3908679,4.2232044836899565,3.509967567505283
89616.7685267,43166.6918445,4.285074142810822,3.4783275690554554
89617.7592314,43166.7996677,4.286258326762128,3.4151191866719897
89618.750304,43166.7107029,4.331997484240132,3.5242732029354245
89619.7099264,43166.4392539,4.444813895169334,3.5741947211224288
89620.6123591,43166.0135366,4.263150841147563,3.528306308050457
89621.4435741,43165.4625365,4.165115278823363,3.6884990148490635
89622.2029882,43164.8150255,3.8789895193762707,3.8218572204257564
89622.894839,43164.096234,3.6875821852324946,4.02738460386497
89623.5299141,43163.3262673,3.5578616064969597,4.142893416257978
89624.1206811,43162.522,3.4930976122764408,4.216450044077224
89624.6810283,43161.6960146,3.471816337847725,4.2646695872995455
89625.2225158,43160.8575911,3.476054511486489,4.28907335140805
89625.7497814,43160.010153,3.4459336417604822,4.279446973941549
89626.2657868,43159.1558214,3.4260212102795693,4.2560939503945985
89626.7714186,43158.2952481,3.418328708535435,4.2074076564590674
89627.2671355,43157.4289562,3.4343927598481594,4.137535013778308
89627.7537983,43156.5575434,3.489626301960799,4.071600472615628
89628.2323738,43155.6816527,3.554296132531448,4.005310460946092
89628.7038753,43154.8019499,3.617224600745827,3.9306469876141574
89629.1693803,43153.9190457,3.613576103903249,3.842461594772528
89629.630035,43153.0336129,3.602076870258024,3.77206343261295
89630.0870535,43152.1462945,3.590362200796028,3.706319270307696
89630.5416652,43151.2577398,3.5756322875013615,3.6339907627628043
89630.9951129,43150.3685955,3.5598690563191555,3.556647074886743
89631.4486501,43149.4794911,3.578463714453727,3.4731268109501015
89631.9035225,43148.5910734,3.591986680634335,3.407605260332608
89632.3609768,43147.703982,3.598241165200111,3.3338938175572936
89632.8222536,43146.8188615,3.5970302705216928,3.235277513042079
89633.2885723,43145.9364,3.5865905613631255,3.139232401174644
89633.7611658,43145.0572645,3.6121416548387972,3.041939383779364
89634.2411897,43144.1821839,3.6331847792184013,3.0153882660231877
89634.7297453,43143.3118337,3.6655839794589653,3.047739690810814
89635.2284215,43142.4473003,3.7348743609690063,2.9787490680593844
89635.7402718,43141.5903743,3.789295025516199,2.926091750769377
89636.2705588,43140.7447092,3.7751564289829833,2.8929609024405676
89636.8316391,43139.9194862,3.715249162416283,2.918133663117563
89637.4374398,43139.1258785,3.6181370095384677,3.0192611929491844
89638.100521,43138.3808095,3.4918338661815707,3.172522782435628
89638.8329437,43137.7027479,3.3598330923700503,3.423952120054248
89639.6394329,43137.1166611,3.322404224210589,3.815928464952702
89640.5213496,43136.6495021,3.3263241284707585,4.044618917813978
89641.4659501,43136.3322968,3.199391277510966,4.1276149564227405
89642.4524239,43136.1965608,3.2023581428257364,4.147454761072403
89643.4472049,43136.2583252,3.4355131600393096,4.096274134338458
89644.408225,43136.5227397,3.385568682400806,4.128367385430268
89645.2920245,43136.98306,3.268450184761079,4.092465475981656
89646.0547337,43137.6216638,3.2305894370019628,4.179597751073921
89646.6661699,43138.4086076,3.1530448295907343,4.189549793129528
89647.1115966,43139.3008,3.068794193419504,4.06766736111605
89647.3853312,43140.2590694,3.138458116382288,4.025415606418027
89647.493884,43141.2500028,3.044676876938648,3.982058366476465
89647.4495546,43142.2456749,3.1496374670506246,3.805591194007804
89647.2728075,43143.2282195,3.3378559468247797,3.516311671120961
89646.9855283,43144.1831064,3.455163285460421,3.2048484641207557
89646.6095256,43145.108027,3.552412340150968,2.9426873816615835
89646.166404,43146.0020332,3.6300586244163613,2.8533474086148214
89645.6749998,43146.8708414,3.670468710461014,2.8598659148999097
89645.1530154,43147.7216424,3.681079570658314,2.858169784648837
89644.6158933,43148.5627937,3.6754714761824197,2.8764503579818204
89644.076834,43149.4027699,3.667643544984072,2.898319026454341
89643.5412518,43150.2450113,3.6666346152110316,2.9267274967259067
89643.0113488,43151.0908148,3.6721207419227966,2.966731238402018
89642.4868942,43151.9400406,3.683689254066249,2.9596361528443427
89641.9664716,43152.7917638,3.7020564209767657,2.879865079264008
89641.4486993,43153.645056,3.7222984762095837,2.7951901553974983
89640.9321468,43154.4991215,3.7409679595635814,2.750415871618192
89640.4154614,43155.3530843,3.744601703324487,2.713340488804188
89639.8972643,43156.2061582,3.7456668611039756,2.704787938932502
89639.3762798,43157.0575369,3.7435638667624946,2.699680729060263
89638.8513266,43157.9064278,3.745843913924241,2.6736604631651426
89638.3211592,43158.7521747,3.7431874393718907,2.640789038747373
89637.7847633,43159.5937903,3.73313998594095,2.630792090637755
89637.240797,43160.4308095,3.7145497449568827,2.630132192185404
89636.688466,43161.2619371,3.6874583289429586,2.6398653380926804
89636.1262841,43162.086924,3.656630713417233,2.6615699029355677
89635.553721,43162.9041182,3.6135781931413953,2.695854438822895
89634.9691433,43163.7134618,3.556868609466358,2.741687511995955
89634.3722726,43164.5130369,3.4854879752859267,2.8037733004863385
89633.7614907,43165.3027482,3.3980281839013684,2.883083492099554
89633.1365443,43166.0806799,3.293368443818002,2.9821855610530985
89632.496094,43166.8463013,3.170260765685112,3.102552776924444
89631.8396637,43167.5980024,3.042378403269338,3.1933000092713715
89631.1663693,43168.3346752,2.882501888632114,3.1938077883533076
89630.4755034,43169.0549917,2.7259474808632795,3.330759160277296
89629.7667451,43169.7572497,2.5128652614195035,3.5262914827245533
89629.0390981,43170.4404649,2.282275475260949,3.845797885940274
89628.2929032,43171.1025584,2.043027288544262,4.301923727491908
89627.5277832,43171.743534,1.7369783985569822,4.630308804109613
89626.7450936,43172.3633294,1.4711720301222304,4.723377806887973
89625.9504765,43172.9676296,1.442545194687814,4.578014929880569
89625.1523354,43173.5685659,1.5272534936861457,4.036222616121083
89624.361934,43174.1787171,2.037911340104584,3.2192876964054142
