s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
350.6902136,89633.4765395,43126.6759143,0.7355515624799653,-0.04849135737732636,9.694,0.0
349.6910962,89632.8243186,43127.4327393,0.690799585422877,-0.041052127855847755,9.694,0.0
348.6919788,89632.2036936,43128.2156201,0.6535242350964214,-0.03360434691019057,9.694,0.0
347.6928614,89631.6096425,43129.0189333,0.6236533147537848,-0.026303784897301903,9.694,0.0
346.693744,89631.0368326,43129.8375247,0.6009638772078341,-0.01928889471791374,9.694,0.0
345.6946266,89630.4798325,43130.6669611,0.5851100976866985,-0.01295850848672295,9.694,0.0
344.6955091,89629.9332473,43131.5033223,0.5750697467036674,-0.00783950141692391,9.694,0.0
343.6963917,89629.3930135,43132.3437769,0.5694449301085283,-0.004156162874305176,9.694,0.0
342.6972743,89628.8558778,43133.1862238,0.5667648055122667,-0.002002989204030227,9.694,0.0
341.6981569,89628.3201528,43134.0295684,0.5654424956250641,-0.0010573595347052945,9.694,0.0
340.6990395,89627.7852471,43134.8734326,0.5646519575885334,-0.0006806287633389845,9.694,0.0
339.6999221,89627.250855,43135.717625,0.5640824410897456,-0.0005323789807458846,9.694,0.0
338.7008046,89626.7169094,43136.5621002,0.5635881391602302,-0.0004607331053018739,9.694,0.0
337.7016872,89626.183352,43137.4068207,0.563161787858228,-0.0003935762219369785,9.694,0.0
336.7025698,89625.6501268,43138.2517507,0.562801681283172,-0.00032748604967912246,9.694,0.0
335.7034524,89625.1171777,43139.0968556,0.5625073935592853,-0.00026152182557244604,9.694,0.0
334.704335,89624.5844504,43139.9420985,0.5622790992947753,-0.00019501365680382182,9.694,0.0
333.7052175,89624.051887,43140.787447,0.5621177104213566,-0.00012839868720078236,9.694,0.0
332.7061001,89623.519433,43141.6328611,0.5620225286361711,-6.429397914366063e-05,9.694,0.0
331.7069827,89622.9870307,43142.4783107,0.5619892360082188,-1.7079729995250194e-06,9.694,0.0
330.7078653,89622.4546329,43143.3237604,0.5620191157062058,7.114256257056438e-05,9.694,0.0
329.7087479,89621.9221812,43144.1691764,0.5621313953560025,0.0001673276408014008,9.694,0.0
328.7096305,89621.389592,43145.014509,0.562353475648564,0.00030256502338622837,9.694,0.0
327.710513,89620.856766,43145.8596866,0.5627359907130298,0.00048788984046375933,9.694,0.0
326.7113956,89620.3235295,43146.7046127,0.5633283938239066,0.0007080727675671774,9.694,0.0
325.7122782,89619.7897008,43147.5491611,0.564150888201548,0.0009442185430629874,9.694,0.0
324.7131608,89619.2550762,43148.3932072,0.5652151647447496,0.0011864513592765222,9.694,0.0
323.7140434,89618.7194513,43149.236617,0.5665216967434819,0.001427346756145632,9.694,0.0
322.7149259,89618.1826235,43150.0792624,0.5680673375068466,0.0016669524607393284,9.694,0.0
321.7158085,89617.6443898,43150.9210189,0.5698526706059428,0.0018705875924085926,9.694,0.0
320.7166911,89617.1045568,43151.7617418,0.5718052229239445,0.0015270219336941005,9.694,0.0
319.7175737,89616.5630605,43152.6013583,0.5729039712993935,-0.0002080942480547319,9.694,0.0
318.7184563,89616.0213849,43153.4408874,0.5713894096165908,-0.004704281964074376,9.694,0.0
317.7193389,89615.4824388,43154.2821335,0.5635039272390969,-0.013839887263952666,9.694,0.0
316.7202214,89614.9540982,43155.1300558,0.5437354314025691,-0.027219625530358105,9.694,0.0
315.721104,89614.4487829,43155.992016,0.5091132174813944,-0.04251110239182583,9.694,0.0
314.7219866,89613.9803976,43156.8744292,0.4587907007001837,-0.05841648590426736,9.694,0.0
313.7228692,89613.5642766,43157.7827193,0.39239171557058405,-0.07455225116373294,9.4904938,1.9538058
312.7237518,89613.2168755,43158.7193383,0.30983200953109336,-0.09099777603699208,9.036938,4.2053242
311.7246344,89612.9558207,43159.6832989,0.21060957461111318,-0.10827864583433709,8.6237138,3.6521271
310.7255169,89612.7998783,43160.6699305,0.09353856014820838,-0.12681200872785503,8.2641462,3.0388457
309.7263995,89612.7696792,43161.6674892,-0.04262069780428801,-0.14611689317303583,7.9604294,2.4660148
308.7272821,89612.8847355,43162.6597105,-0.19824015911349768,-0.16585350507852914,7.7268844,1.8334649
307.7281647,89613.161393,43163.6174925,-0.37363246170078135,-0.18307869894006049,7.6105931,0.8925956
306.7290473,89613.6098801,43164.5093427,-0.5635197690262341,-0.1957994326577407,7.5119486,0.7465368
305.7299298,89614.2220228,43165.2960663,-0.7642696639207953,-0.20365378617770308,7.5473788,-0.2670137
304.7308124,89614.9822181,43165.9409323,-0.9695424750526258,-0.20533296070017348,7.5826436,-0.2670137
303.731695,89615.8583833,43166.4185754,-1.1738620265668454,-0.2040101549874644,7.6187512,-0.2746854
302.7325776,89616.8133676,43166.7085212,-1.3767328396587757,-0.20247502511084642,7.6319816,-0.1009763
301.7334602,89617.8062441,43166.801402,-1.5778485497424315,-0.19728943643629532,7.6679781,-0.2756151
300.7343428,89618.7966668,43166.6945343,-1.7700062467750783,-0.18252371916913182,7.7038063,-0.2756151
299.7352253,89619.75352,43166.4082711,-1.9419702545277169,-0.1612901961846175,7.8853634,-1.4164128
298.7361079,89620.6513499,43165.9726651,-2.092051149579007,-0.13910125323187184,8.1690134,-2.2789227
297.7369905,89621.4807954,43165.4164191,-2.219702219588307,-0.11694003705759151,8.5316371,-3.0307011
296.7378731,89622.2399591,43164.7677377,-2.325609799111058,-0.0957198933546142,8.9750239,-3.8845399
295.7387557,89622.934118,43164.0493832,-2.4109028813956845,-0.07573336362943427,9.4820563,-4.6833018
294.7396383,89623.5725174,43163.2807738,-2.4769327141759496,-0.057328969432667236,9.694,-2.0339173
293.7405208,89624.1660695,43162.4772121,-2.5254555645080146,-0.0412517955717684,9.694,0.0
292.7414034,89624.7270423,43161.6503038,-2.5593637381966,-0.02885722760645958,9.694,0.0
291.742286,89625.2648073,43160.8083078,-2.5831211764536284,-0.020363454408071104,9.694,0.0
290.7431686,89625.7857924,43159.9558217,-2.6000530232653682,-0.014717675780538198,9.694,0.0
289.7440512,89626.2947606,43159.0960692,-2.6125298844283544,-0.0111251567473742,9.694,0.0
288.7449337,89626.7943232,43158.2308311,-2.622283429125317,-0.00891016001161304,9.694,0.0
287.7458163,89627.2864261,43157.3613115,-2.6303342898578848,-0.007546309603846701,9.694,0.0
286.7466989,89627.7719983,43156.4881319,-2.6373626574059394,-0.006609062412894589,9.694,0.0
285.7475815,89628.2518305,43155.6117809,-2.643540688278935,-0.005794197930546957,9.694,0.0
284.7484641,89628.7265806,43154.7326614,-2.648940818419012,-0.004988033008996388,9.694,0.0
283.7493467,89629.1969223,43153.8511753,-2.6535079660309537,-0.004124110515318961,9.694,0.0
282.7502292,89629.6636203,43152.9677603,-2.657181753350653,-0.0032174116394073273,9.694,0.0
281.7511118,89630.1274751,43152.0828374,-2.659937122400069,-0.002289887019982787,9.694,0.0
280.7519944,89630.589296,43151.1968673,-2.6617574855320347,-0.0013511428325002665,9.694,0.0
279.752877,89631.049926,43150.3102615,-2.6626370231935343,-0.000408228002608394,9.694,0.0
278.7537596,89631.5101882,43149.4234794,-2.662573221437598,0.0005343889828824453,9.694,0.0
277.7546421,89631.9709294,43148.5369361,-2.6615691901080307,0.0014734608333126823,9.694,0.0
276.7555247,89632.4329725,43147.6510779,-2.6596289015388974,0.0024134691523428516,9.694,0.0
275.7564073,89632.8971434,43146.7663428,-2.6567465504186005,0.0033595830468791023,9.694,0.0
274.7572899,89633.3642875,43145.883159,-2.652915704621606,0.004289885526247272,9.694,0.0
273.7581725,89633.8352289,43145.0019957,-2.6481743504974276,0.005204077855782284,9.694,0.0
272.7590551,89634.3107289,43144.1232775,-2.6425167108484495,0.00670929607465312,9.694,0.0
271.7599376,89634.7915689,43143.2475758,-2.6347681544876584,0.009891461982400256,9.694,0.0
270.7608202,89635.2806041,43142.3763748,-2.6227525540464143,0.016202990243810677,9.694,0.0
269.7617028,89635.782383,43141.5124187,-2.602391767561395,0.027653450611522103,9.694,0.0
268.7625854,89636.3064385,43140.6619186,-2.567498402206963,0.04394414572113679,9.694,0.0
267.763468,89636.8673231,43139.8349187,-2.5145803038434127,0.06243407169833493,9.6399021,0.5234234
266.7643506,89637.4783301,43139.0445097,-2.442736557926767,0.08172836056547048,9.1276689,4.8109327
265.7652331,89638.1517131,43138.3064922,-2.351279331619057,0.10171395977248261,8.6752623,4.0306394
264.7661157,89638.896471,43137.6402415,-2.239478123978345,0.12248938722294296,8.2905458,3.266396
263.7669983,89639.7156684,43137.0707942,-2.1066739659393914,0.14288483003911712,7.9725092,2.5884076
262.7678809,89640.6089387,43136.62331,-1.9541712461553122,0.1624983434780559,7.7060438,2.0907415
261.7687635,89641.5603552,43136.3267742,-1.782385114452756,0.18048748630645284,7.5195089,1.4213027
260.769646,89642.5507524,43136.2062007,-1.5942309791202545,0.19575911578974667,7.3625093,1.1692675
259.7705286,89643.5453679,43136.2802476,-1.3918304732630296,0.20758113327896466,7.3093497,0.3903196
258.7714112,89644.5031752,43136.5593966,-1.1801014799559075,0.2154556537818844,7.2228699,0.6289269
257.7722938,89645.3790872,43137.0354968,-0.962082908719367,0.2176258619364666,7.2569367,-0.2468584
256.7731764,89646.1280586,43137.6919493,-0.7463997521937689,0.20962385572755934,7.2908443,-0.2468584
255.774059,89646.7258823,43138.4916582,-0.5440094407102403,0.19645050982174375,7.4479238,-1.1586014
254.7749415,89647.156303,43139.3918278,-0.35423664959032397,0.18442736004722074,7.628916,-1.3656005
253.7758241,89647.4152472,43140.3556271,-0.1759367417046631,0.1714695079974828,7.8319027,-1.5705566
252.7767067,89647.5042298,43141.3489488,-0.012107337288363773,0.15382910697185512,8.0315161,-1.5846738
251.7775893,89647.4393412,43142.3455628,0.1311097690064229,0.13264534287373428,8.3182839,-2.3463691
250.7784719,89647.24369,43143.3247376,0.25281916328101683,0.11125930326488039,8.6927205,-3.1875849
249.7793545,89646.9405374,43144.2763136,0.3533200320167822,0.09012778850943506,9.1346423,-3.9426295
248.780237,89646.5532766,43145.1968142,0.43283532190215324,0.06933777077394228,9.6557304,-4.9000441
247.7811196,89646.1031428,43146.0886317,0.4918308372489686,0.049437076459917635,9.694,-0.3705806
246.7820022,89645.6099141,43146.9576659,0.5316217802014482,0.03140073332598049,9.694,0.0
245.7828848,89645.0902418,43147.8109665,0.5545800972016028,0.016540291139355064,9.694,0.0
244.7837674,89644.557617,43148.6564955,0.5646758018208531,0.006750562174519571,9.694,0.0
243.7846499,89644.0207972,43149.4991658,0.5680706770550206,0.0019447452345072594,9.694,0.0
242.7855325,89643.4825532,43150.3408886,0.5685618608360521,-0.0005279508815807215,9.694,0.0
241.7864151,89642.9449126,43151.1830206,0.5670157134561586,-0.0023603746333777324,9.694,0.0
240.7872977,89642.4092822,43152.026391,0.5638453417493419,-0.004005753803341249,9.694,0.0
239.7881803,89641.876994,43152.8719119,0.5590113996543016,-0.0056497847650886345,9.694,0.0
238.7890629,89641.3495256,43153.7204479,0.5525557412085358,-0.00710588810412871,9.694,0.0
237.7899454,89640.8281954,43154.5727753,0.5448121231175995,-0.008087085769454608,9.694,0.0
236.790828,89640.3139391,43155.4293653,0.5363959178973663,-0.008024677708674698,9.694,0.0
235.7917106,89639.8070406,43156.2903266,0.528777192845276,-0.006538983476584065,9.694,0.0
234.7925932,89639.305881,43157.154678,0.5233295145721351,-0.004116152826281521,9.694,0.0
233.7934758,89638.8084021,43158.0210953,0.5205522409386871,-0.0012977666913620237,9.694,0.0
232.7943583,89638.3120444,43158.8882288,0.5207362820693113,0.0017213056846783672,9.694,0.0
231.7952409,89637.814248,43159.7544605,0.5239917957065883,0.004807119447229264,9.694,0.0
230.7961235,89637.3122559,43160.6183426,0.530341977230874,0.007767935914119752,9.694,0.0
229.7970061,89636.8034789,43161.478215,0.5395141568347781,0.010416560318202912,9.694,0.0
228.7978887,89636.2857348,43162.3327273,0.5511567816896821,0.01291417600514011,9.694,0.0
227.7987713,89635.7570356,43163.1805849,0.5653207753166263,0.015563146935814221,9.694,0.0
226.7996538,89635.2153143,43164.0200588,0.5822563245893106,0.018426499547350324,9.694,0.0
225.8005364,89634.6581947,43164.8495462,0.6021425280925943,0.021459311803187487,9.694,0.0
224.801419,89634.0835258,43165.6668074,0.6251383637887513,0.024605423855577204,9.694,0.0
223.8023016,89633.4888806,43166.4697796,0.6513106357829548,0.027792462421885027,9.694,0.0
222.8031842,89632.8722189,43167.2558765,0.6806758440710983,0.030998584863278274,9.694,0.0
221.8040668,89632.2315352,43168.02248,0.7132516186354239,0.03422033409626427,9.694,0.0
220.8049493,89631.5649747,43168.7667949,0.7490559856143117,0.03748921814146844,9.694,0.0
219.8058319,89630.8711316,43169.4855396,0.7881610383213209,0.040840080000826784,9.694,0.0
218.8067145,89630.1483619,43170.1756014,0.8306665546483547,0.04397790412077999,9.694,0.0
217.8075971,89629.3962873,43170.8325555,0.876024135888315,0.04583075543909929,9.694,0.0
216.8084797,89628.6141807,43171.4541739,0.9222204137426404,0.04517514705244323,9.694,0.0
215.8093622,89627.8047446,43172.0388808,0.9662652433291292,0.04042748067154202,9.694,0.0
214.8102448,89626.9717089,43172.5888088,1.0029426271900341,0.03024980975374801,9.694,0.0
