idx,ub,lb,left_boundary_idx,right_boundary_idx,left_x,left_y,right_x,right_y
0,3.7730406781868604,-3.7266502955096517,3995,3981,89630.67897785401,43124.144218268455,89636.23970449713,43129.17648256015
1,3.5764429693531508,-3.841106634222009,3981,3971,89630.06782238092,43125.153995587505,89635.78480084593,43129.880114434105
2,3.434608575953563,-3.925744616000114,3970,3962,89629.47679972208,43126.12741851764,89635.32052299201,43130.60242661313
3,3.3327017443354787,-3.9830347733663243,3957,3953,89628.90432077335,43127.07262004875,89634.84287227482,43131.345044051675
4,3.274156144581859,-4.01311578361276,3945,3942,89628.33633812654,43127.98619327157,89634.34681432246,43132.10669179162
5,3.245616693014533,-4.013531839591533,3933,3933,89627.77411997339,43128.87443566328,89633.8257184753,43132.88359929053
6,3.2301507626529014,-4.001689500296884,3922,3923,89627.22265217274,43129.746464876764,89633.29128253034,43133.679814488954
7,3.2347980371555503,-4.001440498964099,3912,3910,89626.66866536727,43130.59968814284,89632.76302820459,43134.5012121731
8,3.251286128381656,-4.016905375204596,3900,3901,89626.11295502973,43131.44059034336,89632.2447094145,43135.34292245348
9,3.2687277138599473,-4.030524289166425,3889,3891,89625.56019732945,43132.27821844413,89631.72333242671,43136.189080954704
10,3.2929644396638316,-4.036174253331943,3879,3878,89625.00343340571,43133.11129543984,89631.19490578782,43137.03327755642
11,3.3443818569812525,-4.039022690657253,3867,3868,89624.42458638437,43133.92958257389,89630.66415035819,43137.877050639705
12,3.3960113775043483,-4.040629268209058,3854,3859,89623.84611260741,43134.74787335315,89630.13262985961,43138.7206966479
13,3.44802123060806,-4.039756781305309,3844,3848,89623.26780392707,43135.56605188204,89629.59925471958,43139.56349486696
14,3.4985717982630815,-4.035129535648007,3833,3837,89622.69116221444,43136.385060257264,89629.06289237482,43140.40472573488
15,3.5492370574128413,-4.029715665267114,3823,3825,89622.1148051143,43137.20401579,89628.5259970169,43141.24593894125
16,3.5371056484550327,-4.024153034846126,3814,3811,89621.59190945303,43138.0564116095,89627.98905403091,43142.08743804521
17,3.459049326790379,-4.016392462991578,3806,3799,89621.12508742692,43138.94384549637,89627.45027038093,43142.92810082839
18,3.3797508490086248,-4.004276461377041,3792,3791,89620.65955867266,43139.83179623908,89626.90776781017,43143.766734852885
19,3.340523650193596,-3.9858948179857423,3780,3782,89620.16029034142,43140.698244071275,89626.3598820631,43144.60227660896
20,3.3074740199992734,-3.9680543287410006,3771,3768,89619.65591169498,43141.56122131972,89625.81232451764,43145.43831996565
21,3.2733372950740494,-3.980702314049866,3761,3756,89619.1525417104,43142.42451765258,89625.2903371007,43146.290854212886
22,3.2389715539325388,-4.003158181631312,3750,3747,89618.64941354048,43143.28755829511,89624.7762743579,43147.14890775233
23,3.2627762998511396,-4.021315060927479,3735,3739,89618.0971143043,43144.11898797551,89624.25798873394,43148.00506738983
24,3.3240933961906647,-4.047316817954435,3727,3726,89617.5130669565,43144.929536026124,89623.74546473552,43148.865893030925
25,3.3800927834817696,-4.055410422728845,3714,3716,89616.93337731158,43145.741830650295,89623.21669668077,43149.71758286017
26,3.4149864902022893,-4.034015408824224,3703,3706,89616.37121102189,43146.56414887323,89622.66169482027,43150.55381588615
